# Accelerometer Data File
# Started @Tue Jan 26 20:13:58 GMT+01:00 2021
#
#
# sensor Vendor: KIONIX
# sensor Name: accelerometer-kx023
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
4.663 -3.936 8.35 5
4.797 -4.185 9.174 5
4.778 -4.242 9.892 6
4.826 -4.232 10.62 5
4.654 -4.022 11.233 4
4.395 -3.955 11.942 5
4.165 -3.993 12.507 5
3.658 -3.888 13.139 5
3.629 -4.118 13.646 6
3.639 -4.098 13.895 5
3.514 -4.022 14.144 4
3.275 -3.945 14.307 5
2.93 -4.06 14.326 5
2.652 -4.127 14.173 5
2.403 -4.28 14.049 6
2.221 -4.376 13.761 4
1.924 -4.443 13.599 5
1.838 -4.405 13.493 5
1.81 -4.376 13.484 5
1.886 -4.309 13.503 6
2.001 -4.213 13.56 5
2.097 -4.098 13.464 4
2.355 -4.05 13.503 5
2.394 -3.955 13.541 5
2.451 -3.811 13.503 5
2.585 -3.696 13.608 6
2.614 -3.466 13.656 5
2.576 -3.342 13.541 4
2.489 -3.294 13.56 5
2.499 -3.265 13.627 5
2.384 -3.284 13.895 5
2.355 -3.122 14.365 6
2.327 -2.815 14.796 4
2.269 -2.595 15.045 6
2.346 -2.47 15.15 4
2.375 -2.355 15.102 5
2.375 -2.173 15.073 6
2.365 -2.078 14.824 5
2.413 -1.896 14.403 4
2.403 -1.733 13.982 5
2.365 -1.561 13.532 5
2.394 -1.532 13.11 5
2.413 -1.503 12.727 6
2.48 -1.446 12.507 4
2.566 -1.312 12.296 5
2.528 -1.244 12.229 5
2.528 -1.177 12.191 5
2.537 -1.158 12.057 6
2.576 -1.244 11.884 5
2.595 -1.244 11.654 4
2.595 -1.302 11.367 5
2.518 -1.446 11.118 5
2.451 -1.561 10.917 5
2.509 -1.656 10.936 6
2.633 -1.618 10.802 5
2.614 -1.608 10.687 4
2.518 -1.417 10.706 5
2.691 -1.426 10.86 5
2.681 -1.417 10.534 5
2.681 -1.417 10.381 6
2.767 -1.532 10.247 4
2.643 -1.465 10.017 5
2.518 -1.513 9.691 5
2.451 -1.513 9.433 5
2.422 -1.656 9.327 6
2.336 -1.723 9.011 5
2.154 -1.714 8.753 4
2.126 -1.771 8.743 5
2.202 -1.905 8.561 5
2.087 -1.963 8.542 5
1.963 -1.972 8.561 6
2.011 -1.953 8.494 5
2.03 -1.991 8.513 4
2.106 -1.972 8.494 5
2.106 -1.924 8.552 5
2.26 -1.886 8.714 5
2.442 -1.982 8.695 6
2.547 -2.03 8.973 4
2.537 -1.934 9.184 5
2.566 -1.934 9.385 5
2.518 -1.905 9.605 5
2.432 -1.905 9.94 6
2.355 -1.896 10.333 5
2.317 -1.867 10.486 4
2.193 -1.867 10.63 5
2.049 -1.733 10.572 5
