# Accelerometer Data File
# Started @Tue Jan 26 20:12:48 GMT+01:00 2021
#
#
# sensor Vendor: KIONIX
# sensor Name: accelerometer-kx023
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.258 5.315 8.418 5
0.325 5.305 8.398 5
0.258 5.334 8.398 5
0.287 5.315 8.379 5
0.239 5.324 8.37 5
0.268 5.343 8.331 5
0.248 5.324 8.293 5
0.248 5.343 8.236 5
0.181 5.353 8.245 5
0.191 5.295 8.197 5
0.172 5.286 8.149 5
0.191 5.324 8.13 5
0.191 5.295 8.121 5
0.201 5.295 8.121 5
0.191 5.267 8.188 5
0.229 5.248 8.274 5
0.229 5.276 8.293 5
0.229 5.286 8.408 5
0.22 5.305 8.418 5
0.201 5.276 8.379 5
0.191 5.257 8.475 5
0.22 5.257 8.532 5
0.162 5.228 8.513 5
0.162 5.248 8.532 5
0.086 5.286 8.456 5
0.124 5.315 8.427 5
0.114 5.286 8.331 5
0.057 5.248 8.245 5
0.086 5.248 8.169 5
0.124 5.305 8.121 5
0.172 5.257 8.063 5
0.172 5.276 8.063 5
0.21 5.295 8.063 5
0.229 5.334 8.149 5
0.306 5.353 8.207 5
0.335 5.353 8.264 5
0.373 5.353 8.331 5
0.354 5.295 8.303 5
0.306 5.286 8.408 5
0.287 5.343 8.427 5
0.277 5.286 8.437 5
0.248 5.295 8.418 5
0.21 5.276 8.398 5
0.191 5.334 8.341 5
0.172 5.372 8.36 5
0.162 5.286 8.36 5
0.191 5.363 8.283 5
0.229 5.295 8.389 5
0.229 5.276 8.274 5
0.181 5.372 8.207 5
0.258 5.343 8.169 5
0.287 5.343 8.14 5
0.306 5.324 8.111 5
0.344 5.334 8.073 5
0.344 5.343 8.063 5
0.383 5.343 8.121 5
0.354 5.391 8.121 5
0.373 5.334 8.226 5
0.402 5.315 8.293 5
0.363 5.353 8.341 5
0.344 5.305 8.398 5
0.287 5.295 8.379 5
0.287 5.315 8.418 5
0.239 5.276 8.418 5
0.162 5.315 8.408 5
0.162 5.286 8.408 5
0.201 5.248 8.341 5
0.124 5.324 8.293 5
0.143 5.334 8.245 5
0.143 5.267 8.226 5
0.181 5.295 8.159 5
0.258 5.267 8.207 5
0.181 5.276 8.121 5
0.153 5.295 8.188 5
0.181 5.382 8.207 5
0.277 5.295 8.331 5
0.287 5.315 8.331 5
0.344 5.372 8.398 5
0.335 5.391 8.398 5
0.344 5.42 8.456 5
0.354 5.343 8.475 5
0.335 5.382 8.465 5
0.325 5.343 8.398 5
0.325 5.295 8.37 5
0.316 5.315 8.293 5
0.277 5.343 8.245 5
0.248 5.276 8.216 5
0.229 5.295 8.092 5
0.162 5.295 8.14 5
0.162 5.286 8.111 5
0.143 5.295 8.13 5
0.086 5.295 8.169 5
0.114 5.228 8.188 5
0.076 5.267 8.159 5
0.095 5.219 8.207 5
0.076 5.238 8.255 5
0.134 5.228 8.264 5
0.162 5.267 8.197 5
0.191 5.257 8.283 5
0.22 5.2 8.264 5
0.229 5.209 8.245 5
0.296 5.267 8.207 5
0.316 5.295 8.216 5
0.306 5.276 8.159 5
0.287 5.267 8.207 5
0.268 5.343 8.303 5
0.21 5.295 8.283 5
0.201 5.315 8.293 5
0.162 5.286 8.303 5
0.143 5.334 8.255 5
0.067 5.343 8.188 5
0.067 5.343 8.13 5
0.114 5.305 8.111 5
0.143 5.324 7.996 5
0.153 5.343 7.977 5
0.191 5.334 8.006 5
0.22 5.353 8.044 5
0.277 5.286 8.101 5
0.268 5.363 8.13 5
0.306 5.382 8.274 5
0.296 5.343 8.303 5
0.296 5.343 8.494 5
0.229 5.315 8.59 5
0.239 5.343 8.695 5
0.248 5.324 8.743 5
0.162 5.315 8.858 5
0.191 5.305 8.724 5
0.134 5.315 8.657 5
0.181 5.305 8.609 5
0.22 5.334 8.475 5
0.229 5.334 8.322 5
0.258 5.41 8.255 5
0.268 5.343 8.13 5
0.268 5.391 8.13 5
0.296 5.353 8.073 5
0.306 5.363 8.082 5
0.306 5.353 8.034 5
0.316 5.353 8.111 5
0.306 5.363 8.111 5
0.268 5.324 8.169 5
0.287 5.305 8.121 5
0.248 5.334 8.274 5
0.248 5.286 8.274 5
0.201 5.267 8.36 5
0.22 5.276 8.283 5
0.21 5.343 8.264 5
0.258 5.315 8.264 5
0.239 5.305 8.236 5
0.277 5.353 8.264 5
